channel_id,channel_name,channel_created_at,country,description_len,subscriber_count,total_view_count,total_video_count,uploads_playlist_id,channel_category,note,channel_age_years,subscriber_tier,avg_views_per_video,video_count_dataset,total_views_dataset,avg_views_per_video_dataset,median_views_per_video,avg_engagement_rate,short_form_count,viral_count,commercial_count,first_video_date,last_video_date,short_form_ratio
UC5ezaYrzZpyItPSRG27MLpg,POPS Kids,2014-01-14 10:34:15.000000,VN,614,20000000,14543614187,4414,UU5ezaYrzZpyItPSRG27MLpg,Kids,POPS Kids,12.31,Mega,3294883.0,600,145647057,242745.095,26471.0,0.0065684666666666666,242,0,0,2025-11-13 10:01:18,2026-05-07 04:00:44,0.4033
UC7JqmPfPHcfHKN7ZOZCflKQ,BingGo Leaders,2015-05-16 03:02:30.000000,VN,508,18800000,26936008527,1594,UU7JqmPfPHcfHKN7ZOZCflKQ,Kids,BingGo Leaders,10.98,Mega,16898374.0,600,9834530590,16390884.316666666,2937290.0,0.010058891485809683,570,94,1,2024-10-22 12:01:16,2026-05-06 12:01:10,0.95
UC6eq3sR4CtbvGdmInchzWUA,Kênh Thiếu Nhi - BHMEDIA,2014-05-05 09:12:44.000000,VN,864,14800000,13938784264,10846,UU6eq3sR4CtbvGdmInchzWUA,Kids,Kênh Thiếu Nhi BHMEDIA,12.0,Mega,1285154.0,600,139501102,232501.83666666667,26246.0,0.0017432833333333334,144,0,0,2025-10-22 23:30:00,2026-05-07 02:25:21,0.24
UCA7QBnEDwHAEFTQpaNDT5Iw,BabyBus - Nhạc thiếu nhi,2019-03-13 08:44:49.000000,VN,942,9590000,10491337128,1617,UUA7QBnEDwHAEFTQpaNDT5Iw,Kids,BabyBus - Nhạc thiếu nhi,7.15,Large,6488149.0,600,769756207,1282927.0116666667,643434.5,0.0023632,137,1,0,2024-03-22 09:24:30,2026-05-06 10:15:00,0.2283
UCl0sZ8DxC35w46AaEpQRTxg,Củ Cải Thối,2020-03-22 11:41:35.597546,VN,189,20000000,14283444975,2523,UUl0sZ8DxC35w46AaEpQRTxg,Kids,Củ Cải Thối,6.12,Mega,5661294.0,600,760956345,1268260.575,111563.5,0.006349491666666667,593,5,0,2026-01-04 02:15:09,2026-05-07 05:00:09,0.9883
UCotnhpvYSd-pUAdrb0ceKZw,Thầy Huy Kid Dance,2023-06-27 07:55:03.772407,VN,102,6570000,7327826038,2090,UUotnhpvYSd-pUAdrb0ceKZw,Kids,Thầy Huy Kid Dance,2.86,Large,3506137.0,600,4731944796,7886574.66,2814704.0,0.008654541666666666,593,38,0,2025-07-26 08:00:59,2026-05-07 03:01:00,0.9883
UClLz5ZzYuTMSMziJtwQ5fGA,5 PHÚT THỦ CÔNG,2018-10-09 07:36:23.000000,VN,293,7000000,2658737307,6153,UUlLz5ZzYuTMSMziJtwQ5fGA,Kids,5 PHÚT THỦ CÔNG,7.58,Large,432104.0,600,4515605,7526.008333333333,1269.0,0.005244023333333334,13,0,0,2025-02-15 09:00:41,2026-05-06 12:00:54,0.0217
UCd0neB_LB1xpwIYDetX2qTg,Cris Devil Gamer,2014-05-13 12:23:32.000000,VN,377,11300000,3398459389,1673,UUd0neB_LB1xpwIYDetX2qTg,Gaming,Cris Devil Gamer,11.98,Mega,2031356.0,600,415860132,693100.22,336593.0,0.026724293823038398,257,1,1,2022-11-01 11:06:01,2026-05-05 04:23:41,0.4283
UCA_23dkEYToAc37hjSsCnXA,MixiGaming,2012-11-24 01:45:34.000000,VN,355,8230000,4281036777,3793,UUA_23dkEYToAc37hjSsCnXA,Gaming,MixiGaming,13.45,Large,1128668.0,600,351079978,585133.2966666666,559107.0,0.015204084999999999,148,0,8,2025-04-01 10:00:42,2026-05-05 19:07:40,0.2467
UCtr3boXbtzcDAzY9b6M25NA,SlenderMan™,2017-01-10 12:14:25.000000,VN,34,7810000,6960333121,3759,UUtr3boXbtzcDAzY9b6M25NA,Gaming,SlenderMan™,9.32,Large,1851645.0,600,157964209,263273.68166666664,199615.5,0.009517765,0,0,0,2024-09-12 11:20:00,2026-05-06 11:01:38,0.0
